"type","year","subject","content","option_a","option_b","option_c","option_d","answer","explanation","tags"
"choice","107-1","諮商的心理學基礎","根據依附理論之「內在運作模式(internal working model)」的解釋，孩子會對「自己」建構出「正向的」認知表徵，是因為他有下列何種與人互動的經驗？","一直得到足夠的觸感刺激","很快地克服分離焦慮及陌生人焦慮","在自己需要時引發他人敏感性的照顧","在早期階段即具備物體恆存的概念","在自己需要時引發他人敏感性的照顧","內在運作模式包含對他人（可信賴性）與自己（值得被愛）的看法。當照顧者能敏感回應需求，孩子會認為自己是有價值、值得被愛的。","依附理論, 內在運作模式, Bowlby, 正向自我"
"choice","107-1","諮商的心理學基礎","綜觀女性與男性的自我認同建立過程之差異性敘述，下列何者正確？","女性較重視人際關係","男性較重視性別角色及性行為之統合","女性之自我認同較早完成","男性較重視生涯與家庭發展之平衡","女性較重視人際關係","根據 Gilligan 與相關研究，女性的自我認同發展常與「關係」緊密連結（intimacy），而男性常被社會化為重視獨立與成就（identity）。","自我認同, 性別差異, 心理發展, Gilligan"
"choice","107-1","諮商的心理學基礎","即使沒有大人在旁邊監督或是強調要遵守規定，小強的行為仍然會合乎要求，這種情況顯示了小強對規則的何種心理狀態？","認同(identification)","壓抑(repression)","順從(conformity)","內化(internalization)","內化(internalization)","內化是指將外在規範轉變為內在的價值觀與自我指引，因此無需外在監控也能遵守規則。","道德發展, 內化, 社會化"
"choice","107-1","諮商的心理學基礎","人們會自己辨認並記錄某一種狀態，例如，在什麼情境下有那些行為，對誰有那些反應，情緒狀態如何等等。如此可增進自我理解、預防某些行為的產生，這種現象稱之為何？","自我肯定(self-assertive)","自我驗證(self-confirming)","自證預言(self-fulfilling prophecy)","自我監控(self-monitoring)","自我監控(self-monitoring)","自我監控（Self-monitoring）在此指自我觀察與記錄的行為治療技術，但在社會心理學中Snyder的自我監控特質指根據情境調整行為；題目描述較偏向自我管理/觀察的過程，選項中以自我監控最符合「辨認並記錄」的定義。","自我監控, 自我管理, 行為觀察"
"choice","107-1","諮商的心理學基礎","小華這次月考英文考不及格，她跟媽媽說：「我考英文的時候，剛好坐我前面那個人一直發出噪音，害我都無法專心作答。」請問小華的成就歸因是屬於下列何者？","不穩定且外在因素的歸因","穩定且內在因素的歸因","不穩定且內在因素的歸因","穩定且外在因素的歸因","不穩定且外在因素的歸因","歸因理論（Weiner）：噪音是環境因素（外在），且不是每次考試都有（不穩定）。","歸因理論, Weiner, 成就動機"
"choice","107-1","諮商的心理學基礎","一位很用心教學的老師經常嚴格要求學生遵守學校及班級的規定，若有任何違規，他就嚴格執行管教。從Kohlberg 的道德發展理論來看，他忽略了道德教育上的何種歷程？","道德情緒對道德教育的影響","道德行動受情境的影響","性別在道德思辨上的差異","道德行動應以道德思辨為基礎","道德行動應以道德思辨為基礎","Kohlberg 強調道德發展在於「道德推理（思辨）」的層次提升。若老師只強調行為上的服從與懲罰（類似第一階段或第四階段的硬性規定），而忽略引導學生思考規則背後的意義與正義原則（思辨），則忽略了道德教育的核心歷程。","Kohlberg, 道德發展, 道德教育, 道德思辨"
"choice","107-1","諮商的心理學基礎","關於老年憂鬱症的敘述，何者正確？","老年人憂鬱症的主要症狀與年輕人無異，均為情緒低落(dysphoria)","老年憂鬱症多半為心理社會因素，甚少是生物化學的因素所致","從青年到老年重度憂鬱症比例是增加的","當老年人出現喪失食慾、失眠及呼吸困難等身體變化，一定是有憂鬱症","老年人憂鬱症的主要症狀與年輕人無異，均為情緒低落(dysphoria)","雖然老年人常以身體抱怨掩飾，但情緒低落（dysphoria）仍是核心症狀。選項B錯誤因生理因素仍重要；C錯誤因老年重鬱症盛行率通常低於青壯年；D錯誤因需排除生理疾病。","老年心理學, 憂鬱症, 精神病理"
"choice","107-1","諮商的心理學基礎","關於退休後的調適之敘述，下列何者正確？","經濟穩定、健康及支持網絡與退休的滿意度有關","停止工作後，通常健康會變差","退休後的友誼數量與品質會降低","退休後的活躍度會大幅降低","經濟穩定、健康及支持網絡與退休的滿意度有關","退休適應良好的三大支柱：財務安全、身體健康、社會支持。研究顯示退休本身不一定導致健康變差。","退休, 生涯發展, 老年適應"
"choice","107-1","諮商的心理學基礎","根據布朗菲布列納(U. Bronfenbrenner)的生態系統論，兒童生長的文化中所包含的價值觀是屬於下列那一個選項？","外層系統(exosystem)","大系統(macrosystem)","中層系統(mesosystem)","時刻系統(chronosystem)","大系統(macrosystem)","大系統（Macrosystem）包含文化價值觀、法律、習俗與意識形態，是影響其他系統的最外層架構。","生態系統論, Bronfenbrenner, 大系統"
"choice","107-1","諮商的心理學基礎","Watson 和Rayner 發現當嬰兒接近老鼠時就在嬰兒背後製造巨大聲響，幾次之後當嬰兒看到老鼠就大哭。嬰兒學到害怕老鼠是經由那一種學習歷程？","古典制約","操作制約","替代制約","嫌惡制約","古典制約","Watson 的小艾伯特實驗是古典制約的經典案例。巨大聲響（US）引發恐懼（UR），老鼠（CS）與聲響配對後，單獨出現老鼠即引發恐懼（CR）。","古典制約, Watson, 恐懼學習, 行為主義"
"choice","107-1","諮商的心理學基礎","那兩個理論對於「性格是受先天遺傳或後天環境影響」的觀點是比較相近的？","特質論和行為主義","心理分析和個人中心論","心理分析和特質論","特質論和社會認知論","心理分析和特質論","心理分析強調本能驅力（生物性/先天）與早期經驗；特質論（如 Eysenck, Big Five）強調性格特質具有生物與遺傳基礎。兩者相較於行為主義或社會認知論（強調環境學習），更重視內在穩定的結構或生物基礎。","人格理論, 特質論, 心理分析, 遺傳與環境"
"choice","107-1","諮商的心理學基礎","Carstensen(1995, 1998)等人所提出的社會情緒選擇理論(socioemotional selectivity theory)，下列何者並非他們所發現的結果？","老人想獲得關於世界的訊息及拓展社交圈","老人投注精力到小型且篩選過的社會團體以增進目前的情緒經驗","年輕人投注精力於認識新朋友與獲得關於世界的訊息","年輕人會投注精力於未來所需的訊息與技巧","老人想獲得關於世界的訊息及拓展社交圈","社會情緒選擇理論指出，隨著覺得時間有限（如老年），目標會從「獲取知識/拓展未來」轉向「調節情緒/加深現有關係」。因此A是錯誤敘述（這是年輕人的目標）。","社會情緒選擇理論, 老年心理學, Carstensen"
"choice","107-1","諮商的心理學基礎","下列何者較不會增加攻擊行為？","熱天","冷天","臭味","潮濕","冷天","高溫、噪音、擁擠、臭味等不適環境通常會增加攻擊性。雖然極度寒冷也可能是不適，但一般研究中「熱天」與攻擊的關聯最強，相對而言「冷天」較不會像熱天那樣一致地激發攻擊行為（或導致退縮）。","社會心理學, 攻擊行為, 情境因素"
"choice","107-1","諮商的心理學基礎","在心理治療的過程中，個案若有很嚴苛的父母，他常會將治療師視為嚴厲的批評者。若用心理分析的觀點來討論這現象，下列何者敘述錯誤？","這現象稱為移情作用(transference)","這現象可為探討個案所壓抑的內在衝突之素材","防衛機轉的認同(identification)可用來說明這現象","從容格理論(Jungian)的觀點，這也是集體潛意識(collective unconscious)的表型之一","防衛機轉的認同(identification)可用來說明這現象","此現象是「移情（Transference）」，即把過去對重要他人的情感投射到治療師身上。這不是「認同（Identification）」（模仿或內化他人特質）。雖然 C 是錯誤敘述，但題目問錯誤，故選 C。（註：D 選項提及集體潛意識，雖非標準解釋但容格學派可能將權威原型視為一種投射，相較之下 C 將移情誤稱為認同是定義上的直接錯誤）。","心理分析, 移情, 防衛機轉, 認同"
"choice","107-1","諮商的心理學基礎","下列那一個敘述是對容格學派(Jungian)原型(archetype)概念最好的說明？","情感、思想與知覺的組合體","重要的集體潛意識之結構要件","因應社會要求的角色行為","重要的歷史事件","重要的集體潛意識之結構要件","原型（Archetype）是集體潛意識的主要內容，是普遍的、原始的思考形式或意象（如母親、英雄、陰影）。","Jung, 原型, 集體潛意識"
"choice","107-1","諮商的心理學基礎","特定場所畏懼症(Agoraphobia)的個案被父母帶出門，使得焦躁感受隨時間增加，到中午回家後，焦慮感迅速消退，因此留在家中行為強度升高。這種行為的學習符合那一種制約的原理？","正增強","負增強","消弱","生理回饋","負增強","負增強（Negative Reinforcement）是指行為（留在家中）能移除厭惡刺激（焦慮），導致該行為頻率增加。","操作制約, 負增強, 焦慮症, 迴避學習"
"choice","107-1","諮商的心理學基礎","艾女士曾於手術前被蓋上麻醉面罩時，感覺到快被窒息的恐怖。因此，她對麻醉面罩產生恐懼。隔不久，在擁擠的電梯，艾女士有被窒息的感覺。之後，無論電梯裡面有沒有人，她都對電梯產生恐懼。下列那一個選項最適合說明艾女士對電梯所產生之恐懼反應？","連續強化(continuous reinforcement)","潛伏學習(latent learning)","刺激區辨(stimulus discrimination)","刺激類化(stimulus generation)","刺激類化(stimulus generation)","刺激類化（Stimulus Generalization）指對類似於制約刺激（窒息感/封閉空間）的其他刺激（電梯）產生相同的制約反應（恐懼）。","古典制約, 刺激類化, 恐懼"
"choice","107-1","諮商的心理學基礎","McCrae 與Costa 發表大五因素理論(Big Five theory)，主張特質為實存之物。截至目前研究結果顯示此理論：","不具有描述、預測與解釋功能","具有描述、預測與解釋功能","具有描述功能，但不具解釋功能","僅有解釋功能","具有描述功能，但不具解釋功能","大五人格理論被廣泛認為具有極佳的「分類/描述」功能，能有效預測行為，但常被批評缺乏對人格形成機制與運作過程的深入「解釋」（即說明「為什麼」會這樣）。","人格心理學, 大五人格, 理論評估"
"choice","107-1","諮商的心理學基礎","下列何者並非特質取向人格理論的學者？","Hans Eysenck","Gordon Allport","Karen Horney","Raymond Cattell","Karen Horney","Karen Horney 是新精神分析學派（Neo-Freudian），強調社會文化因素與神經症需求，而非特質論者。A, B, D 均為著名特質論學者。","人格理論, 特質論, Horney, 精神分析"
"choice","107-1","諮商的心理學基礎","社會認知論研究個人如何獲得自我調節(self regulation)是經由使用何種策略？","外在線索及外在增強","內在標準及自我評估","外在線索及自我觀察","內在標準及外在增強","內在標準及自我評估","Bandura 的自我調節包含三個子歷程：自我觀察、判斷過程（與內在標準比較）、自我反應（自我評估與獎懲）。","社會認知論, Bandura, 自我調節"
"choice","107-1","諮商的心理學基礎","Higgins 在自我概念、自我落差研究上觀察到人們經驗實然我與應然我的落差時，他們傾向於感受到下列何種情緒？","焦慮","沮喪","憤怒","失落","焦慮","Higgins 的自我差距理論：實際我 vs. 應然我（Ought self，責任/義務）的落差會導致焦慮、激動；實際我 vs. 理想我（Ideal self，願望）的落差會導致沮喪、低落。","自我差距理論, Higgins, 情緒, 應然我"
"choice","107-1","諮商的心理學基礎","阿文在考試前一天晚上本來準備要念書的，結果坐在書桌前面沒有多久就把漫畫拿出來看了通宵，阿文看漫畫不讀書的行為屬於下列那一個選項？","自我設限(self-handicapping)","自我迷失(self-missing)","自我基模(self schema)","自我解構(self deconstruction)","自我設限(self-handicapping)","自我設限是指在表現前故意製造障礙（如不讀書），以便失敗時有藉口（歸因於外在/障礙）而保護自尊，成功時則能增強能力歸因。","自我設限, 歸因, 自尊保護"
"choice","107-1","諮商的心理學基礎","Lee Ross 和同僚的研究(Lieberman, Samuels & Ross, 2004)把研究參與者隨機分派到「華爾街遊戲組」和「社區遊戲組」，並告知其所屬組名，此二遊戲名稱雖不同但實際內容相同。分派到「華爾街遊戲組」的參與者約有三分之二採用競爭性的策略，「社區遊戲組」的參與者約有三分之一採用競爭性的策略。此研究結果可以支持下列那一個假設？","人格差異不存在","社會規範(social norms)的影響力必定超過人格的差異","較具競爭性的參與者引發同組成員使用相同的策略","遊戲名稱傳遞了行為表現的社會規範","遊戲名稱傳遞了行為表現的社會規範","此實驗展示了情境標籤（Framing）如何激發不同的社會規範（華爾街=競爭，社區=合作），進而顯著影響行為，證明情境力量的重要性。","社會心理學, 社會規範, 賽局理論, 情境影響"
"choice","107-1","諮商的心理學基礎","由於丈夫對妻子表現出極端不理性的嫉妒和懷疑，妻子受不了而協議離婚。但是丈夫一直把離婚的原因解釋為妻子忽視他的各種需求，認為自己本身沒有過失。下列何者最可能是丈夫如此解讀的動機？","對未來的伴侶抱持正面的期待","對世界有正確的理解","正視過去失敗所付出的努力","維持對自己正面的評價","維持對自己正面的評價","這是「自利偏差（Self-serving bias）」的表現，將失敗（離婚）歸因於外在（妻子忽視），以維護自尊與自我正面形象。","歸因偏差, 自利偏差, 自我防衛"
"choice","107-1","諮商的心理學基礎","對於婚姻滿意度高的夫妻而言，下列何者最接近他們對於伴侶行為的歸因型態？","對於伴侶的正面行為進行內在歸因，對於伴侶的負面行為進行外在歸因","對於伴侶的正面行為進行外在歸因，對於伴侶的負面行為進行內在歸因","對於伴侶的正面和負面行為均傾向於進行內在歸因","對於伴侶的正面和負面行為均傾向於進行外在歸因","對於伴侶的正面行為進行內在歸因，對於伴侶的負面行為進行外在歸因","滿意度高的夫妻傾向採用「關係增強式歸因」：好事是因為伴侶好（內在、穩定），壞事是因為情境（外在、不穩定）。","親密關係, 歸因風格, 婚姻滿意度"
"choice","107-1","諮商的心理學基礎","李同學的碩士論文研究主題是關於單純曝光效應(mere exposure effect)，他的論文題目最可能和下列那個選項有關？","人類視覺皮質區反應強度與視覺刺激亮度的關聯性","老鼠的視網膜神經細胞發展","人類相互間的好感與友誼","視知覺錯覺與經驗的關係","人類相互間的好感與友誼","單純曝光效應（Zajonc）指人們傾向於喜歡自己經常接觸或熟悉的人事物。這常用於解釋人際吸引與友誼的形成（近水樓台先得月）。","單純曝光效應, 人際吸引, 社會心理學"
"choice","107-1","諮商的心理學基礎","有關異性戀者的依附型態(attachment styles)組合，下列敘述何者錯誤？","焦慮/矛盾女———逃避男的配對符合性別刻板印象，女性是付出較多也較關心關係品質的一方，男性是較少承諾也較少表達情緒的一方。因此，關係品質雖不佳，但雙方卻能容忍伴侶的行為","焦慮/矛盾男———逃避女的配對，他們的伴侶關係很難維持長久，因為不符合性別刻板印象，因此雙方都認為對方的行為非常麻煩","安全女性——安全男性的配對關係可以維持，伴侶關係品質也較佳","焦慮/矛盾女———逃避男的配對，女方追求伴侶關係的親密，卻屢遭男性伴侶拒絕，因此對關係最感到失望，伴侶關係將難以維繫","焦慮/矛盾女———逃避男的配對，女方追求伴侶關係的親密，卻屢遭男性伴侶拒絕，因此對關係最感到失望，伴侶關係將難以維繫","研究顯示「焦慮女+逃避男」雖然關係品質低、充滿衝突（追逐-逃避模式），但這種配對卻意外地穩定且常見，因為彼此確認了對方的負向預期（自我驗證）。D 選項稱「難以維繫」與常見現象不符（相較於違反性別腳本的組合）。","依附理論, 伴侶關係, 焦慮逃避配對"
"choice","107-1","諮商的心理學基礎","依據 Solomon Asch著名的線段判斷研究程序，若請實驗同謀依然大聲地報出錯誤答案，但實驗受試者的作答方式則改為將自己的答案寫在紙上而不用大聲說出來。請你預測「將答案寫在紙上」相較於原研究「大聲說出答案」為作答方式的實驗受試者之從眾行為，將有何差異？","無法預測，因這樣的順應行為是無關緊要行為","維持不變，因人們相信他們所做的事是對時，才會從眾","大幅增加，因參與者重視陌生人對自己的看法","大幅下降，因參與者不需擔心其他成員對他的看法","大幅下降，因參與者不需擔心其他成員對他的看法","Asch 的研究顯示，當受試者可以私下作答時，規範性社會影響（Normative Social Influence，怕被排擠或嘲笑）大幅降低，因此從眾率顯著下降。","從眾行為, Asch, 社會影響, 規範性影響"
"choice","107-1","諮商的心理學基礎","去個人化(deindividuation)現象不包括下列何者？","為了團體的榮譽，忘了自身的安危","在部落格上以匿名方式隨心所欲評論","與一群與你相似的人一同參加派對，你解放自己","暴民團體擅自以私刑虐待他人","為了團體的榮譽，忘了自身的安危","去個人化通常指在群體中喪失自我覺察與自我約束，導致反規範或衝動行為（如B、C、D）。A 選項「為了團體榮譽犧牲」更多屬於社會認同、利他主義或群體凝聚力，保有對價值觀的堅持，而非去個人化典型的失控或反社會特徵。","去個人化, 群體行為, 社會心理學"
"choice","107-1","諮商的心理學基礎","玻璃天花板(glass ceiling)常被用來描述女性在職涯發展上的處境，下列例子何者可以用來描述女性的玻璃天花板？","2014年11月，德國通過一項新法律，要求當地的各大企業要在董事會裡保留三成的位置給女性","臺灣的公職人員選舉罷免法訂有婦女保障名額","女性被認為具有熱心關懷的特質，一旦她們展現強勢領導的風格，就會招來負面評價","在臺灣主要上市企業中，女性占董事會的席次僅6%","在臺灣主要上市企業中，女性占董事會的席次僅6%","玻璃天花板指女性在晉升到高層職位時面臨看不見的障礙。D 選項的低比例數據是玻璃天花板效應的直接結果與描述。A、B是解決措施，C是成因（性別刻板印象/雙重束縛）。","玻璃天花板, 性別歧視, 職涯發展"
"choice","107-1","諮商的心理學基礎","下週社會心理學的上課內容有關態度改變，老師即將講授耶魯態度改變取向(Yale attitude change approach)，下列何者應該會是講授的三大主題？","溝通訊息的來源；認知需求；說服路徑","溝通訊息的來源；說服路徑；聽眾的內隱態度","溝通訊息的來源；溝通的性質；聽眾的性質","聽眾的人格特質；溝通訊息的認知負荷量；聽眾的凝聚力","溝通訊息的來源；溝通的性質；聽眾的性質","耶魯學派（Hovland 等）分析說服的三要素：來源（Who）、訊息內容（Says What/Nature of communication）、聽眾（To Whom/Nature of audience）。","態度改變, 耶魯學派, 說服傳播"
"choice","107-1","諮商的心理學基礎","如果人們想要態度改變的效果能夠持久，以推敲可能性模型(elaboration likelihood model, Petty & Cacioppo,1986)來思考，下列何者最正確？","說服時利用中心說服路徑(central route to persuasion)","說服時利用周邊說服路徑(peripheral route to persuasion)","說服時增加訊息的說明長度","說服時利用高吸引力的人來傳遞訊息","說服時利用中心說服路徑(central route to persuasion)","推敲可能性模型（ELM）指出，經由中心路徑（深思熟慮、分析論點）造成的態度改變，比周邊路徑（依賴表面線索）更持久、更具抗拒性且更能預測行為。","ELM, 推敲可能性模型, 說服, 態度改變"
"choice","107-1","諮商的心理學基礎","對於外顯態度(explicit attitudes)和內隱態度(implicit attitudes)的本質和形成，社會心理學家已有初步的結論。根據 Rudman 和同僚的研究(Rudman, Phelan & Heppen,2007)發現，下列敘述何者正確？","內隱態度通常是中性的","內隱態度較可能源自童年的經驗，外顯態度較可能源自最近的經驗","對於體重過重的內隱態度和成年後伴侶體重是否過重最有關連","外顯態度通常不在社交場所真正被表現出來，特別是負面的外顯態度更是經常被隱藏而成為內隱態度","內隱態度較可能源自童年的經驗，外顯態度較可能源自最近的經驗","Rudman 等人的研究發現，內隱態度常植基於早期的情感經驗（如童年對體重的看法），而外顯態度則更易受當前經驗與社會規範的修正。","內隱態度, 外顯態度, 態度形成, 社會心理學"

"essay","107-1","諮商與心理治療理論","一、助人工作中的諮商與心理治療關係，依Gelso 與Carter(1985)的觀點，涵蓋三種成分，包括工作同盟、情感轉移關係兩種，請問第三種為何？請分別從心理動力、人文、行為及認知行為、後現代等四個心理治療取向分別說明這三種成分的意義及內涵。(25分)","","","","","","【擬答重點】\n一、第三種成分：\n真實關係（The Real Relationship）：指治療師與個案之間真實、非移情、以現實為基礎的連結，包含真誠與現實知覺。\n\n二、四學派觀點：\n1. 心理動力：重視移情關係，視其為治療核心，透過修通移情促成改變；工作同盟是分析的基礎。\n2. 人文取向（如 Rogers）：視真實關係（真誠、無條件正向關懷、同理心）為治療核心，不強調移情，認為關係本身即治療。\n3. 行為/認知行為：強調工作同盟（合作經驗主義），視關係為學習新行為的平台，較少討論移情或真實關係的深層動力。\n4. 後現代：重視合作與對話（如敘事、合作語言），視關係為共同建構的歷程，強調去專家化與平權的真實連結。","Gelso, Carter, 治療關係, 工作同盟, 移情, 真實關係, 心理動力, 人文取向, 認知行為, 後現代"
"essay","107-1","諮商與心理治療理論","二、在心理治療領域中，Carl Rogers 始終被認為是最具影響力的代表人物之一。請說明他所主張的個案改變之充分必要條件以及治療目標與治療技術。(25分)","","","","","","【擬答重點】\n一、充分必要條件（Six Necessary and Sufficient Conditions）：\n1. 心理接觸：兩人有連結。\n2. 個案處於不一致（Incongruence）狀態（焦慮/脆弱）。\n3. 治療師在關係中是一致（Congruence）或統整的。\n4. 治療師對個案有無條件正向關懷（Unconditional Positive Regard）。\n5. 治療師對個案有同理心（Empathy）。\n6. 治療師的關懷與同理能傳達給個案。\n\n二、治療目標：\n協助個案成為功能充分發揮的人（Fully Functioning Person），提升自我概念與經驗的一致性，減少防衛，更能信任自身機體評價。\n\n三、治療技術：\n不強調特定技術，而是強調「態度」。核心技術即是上述條件的實踐：真誠一致、無條件接納、同理心反應（反映感受、意義）。","Carl Rogers, 個人中心治療, 充分必要條件, 治療目標, 同理心, 無條件正向關懷"
